"","X.1","X","Season1","Season2","Season3","Season4","Season5","Age1","Age2","Age3","Age4","Age5","College1","College2","College3","College4","College5","G1","G2","G3","G4","G5","MP1","MP2","MP3","MP4","MP5","FG1","FG2","FG3","FG4","FG5","FGA1","FGA2","FGA3","FGA4","FGA5","X3P1","X3P2","X3P3","X3P4","X3P5","X3PA1","X3PA2","X3PA3","X3PA4","X3PA5","FT1","FT2","FT3","FT4","FT5","FTA1","FTA2","FTA3","FTA4","FTA5","ORB1","ORB2","ORB3","ORB4","ORB5","TRB1","TRB2","TRB3","TRB4","TRB5","AST1","AST2","AST3","AST4","AST5","STL1","STL2","STL3","STL4","STL5","BLK1","BLK2","BLK3","BLK4","BLK5","TOV1","TOV2","TOV3","TOV4","TOV5","PF1","PF2","PF3","PF4","PF5","PTS1","PTS2","PTS3","PTS4","PTS5","FG.1","FG.2","FG.3","FG.4","FG.5","X3P.1","X3P.2","X3P.3","X3P.4","X3P.5","FT.1","FT.2","FT.3","FT.4","FT.5","MP1.1","MP2.1","MP3.1","MP4.1","MP5.1","PTS1.1","PTS2.1","PTS3.1","PTS4.1","PTS5.1","TRB1.1","TRB2.1","TRB3.1","TRB4.1","TRB5.1","AST1.1","AST2.1","AST3.1","AST4.1","AST5.1","player_id","name","ws"
"9",17,1,"2008-09","2009-10","2010-11","2011-12","Career",18,19,20,21,NA,"BAYLOR","BAYLOR","BAYLOR","BAYLOR",NA,34,36,31,38,139,NA,840,960,1130,2930,72,136,137,158,503,110,195,256,274,835,0,0,0,3,3,0,0,2,5,7,41,63,111,136,351,72,88,162,174,496,NA,65,87,99,251,124,185,237,282,828,9,11,28,38,86,21,17,29,35,102,34,28,45,70,177,33,45,65,71,214,NA,84,79,117,280,185,335,385,455,1360,0.655,0.697,0.535,0.577,0.602,NA,NA,0,0.6,0.429,0.569,0.716,0.685,0.782,0.708,NA,23.3,31,29.7,27.9,5.4,9.3,12.4,12,9.8,3.6,5.1,7.6,7.4,6,0.3,0.3,0.9,1,0.6,"acyqu01","Quincy Acy",8.1
"12",23,1,"2012-13","2013-14",NA,NA,"Career",18,19,NA,NA,NA,"UCLA","UCLA",NA,NA,NA,33,36,NA,NA,69,999,1082,NA,NA,2081,165,208,NA,NA,373,369,429,NA,NA,798,46,52,NA,NA,98,150,146,NA,NA,296,129,158,NA,NA,287,153,189,NA,NA,342,21,67,NA,NA,88,127,192,NA,NA,319,58,84,NA,NA,142,73,95,NA,NA,168,12,5,NA,NA,17,40,54,NA,NA,94,69,78,NA,NA,147,505,626,NA,NA,1131,0.447,0.485,NA,NA,0.467,0.307,0.356,NA,NA,0.331,0.843,0.836,NA,NA,0.839,30.3,30.1,NA,NA,30.2,15.3,17.4,NA,NA,16.4,3.8,5.3,NA,NA,4.6,1.8,2.3,NA,NA,2.1,"adamsjo01","Jordan Adams",0.4
"14",27,1,"2012-13",NA,NA,NA,"Career",19,NA,NA,NA,NA,"PITT",NA,NA,NA,NA,32,NA,NA,NA,32,749,NA,NA,NA,749,100,NA,NA,NA,100,175,NA,NA,NA,175,0,NA,NA,NA,0,0,NA,NA,NA,0,31,NA,NA,NA,31,70,NA,NA,NA,70,90,NA,NA,NA,90,203,NA,NA,NA,203,20,NA,NA,NA,20,21,NA,NA,NA,21,65,NA,NA,NA,65,35,NA,NA,NA,35,52,NA,NA,NA,52,231,NA,NA,NA,231,0.571,NA,NA,NA,0.571,NA,NA,NA,NA,NA,0.443,NA,NA,NA,0.443,23.4,NA,NA,NA,23.4,7.2,NA,NA,NA,7.2,6.3,NA,NA,NA,6.3,0.6,NA,NA,NA,0.6,"adamsst01","Steven Adams",25.4
"17",33,1,"2004-05","2005-06","2006-07",NA,"Career",19,20,21,NA,NA,"UCLA","UCLA","UCLA",NA,NA,29,39,36,NA,104,907,1303,1186,NA,3396,106,203,210,NA,519,240,439,456,NA,1135,39,83,87,NA,209,101,227,232,NA,560,63,129,101,NA,293,89,160,126,NA,375,NA,NA,NA,NA,NA,97,164,99,NA,360,63,69,70,NA,202,18,24,22,NA,64,7,5,8,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,618,608,NA,1540,0.442,0.462,0.461,NA,0.457,0.386,0.366,0.375,NA,0.373,0.708,0.806,0.802,NA,0.781,31.3,33.4,32.9,NA,32.7,10.8,15.8,16.9,NA,14.8,3.3,4.2,2.8,NA,3.5,2.2,1.8,1.9,NA,1.9,"afflaar01","Arron Afflalo",33.3
"21",41,1,"2007-08","2008-09","2009-10",NA,"Career",19,20,21,NA,NA,"FLORIDAST","FLORIDAST","FLORIDAST",NA,NA,10,35,32,NA,77,NA,NA,820,NA,820,15,122,133,NA,270,31,226,249,NA,506,0,0,0,NA,0,0,1,0,NA,1,5,51,108,NA,164,9,75,136,NA,220,NA,NA,79,NA,79,20,197,198,NA,415,0,12,16,NA,28,1,18,20,NA,39,11,73,75,NA,159,11,56,61,NA,128,NA,NA,75,NA,75,35,295,374,NA,704,0.484,0.54,0.534,NA,0.534,NA,0,NA,NA,0,0.556,0.68,0.794,NA,0.745,NA,NA,25.6,NA,25.6,3.5,8.4,11.7,NA,9.1,2,5.6,6.2,NA,5.4,0,0.3,0.5,NA,0.4,"alabiso01","Solomon Alabi",0
"23",45,1,"2007-08","2008-09","2009-10",NA,"Career",19,20,21,NA,NA,"KANSAS","KANSAS","KANSAS",NA,NA,40,35,36,NA,111,NA,NA,963,NA,963,43,199,149,NA,391,83,333,265,NA,681,0,0,0,NA,0,0,0,0,NA,0,26,122,108,NA,256,38,154,159,NA,351,NA,NA,110,NA,110,119,387,354,NA,860,5,36,31,NA,72,11,21,27,NA,59,34,94,125,NA,253,21,56,56,NA,133,NA,NA,92,NA,92,112,520,406,NA,1038,0.518,0.598,0.562,NA,0.574,NA,NA,NA,NA,NA,0.684,0.792,0.679,NA,0.729,NA,NA,26.8,NA,26.8,2.8,14.9,11.3,NA,9.4,3,11.1,9.8,NA,7.7,0.1,1,0.9,NA,0.6,"aldrico01","Cole Aldrich",9.6
"28",55,1,"2005-06","2006-07","2007-08",NA,"Career",19,20,21,NA,NA,"WVIRGINIA","WVIRGINIA","WVIRGINIA",NA,NA,10,36,36,NA,82,36,899,1137,NA,2072,4,144,219,NA,367,8,339,474,NA,821,0,40,11,NA,51,1,131,41,NA,173,5,42,158,NA,205,8,66,194,NA,268,NA,NA,NA,NA,NA,7,155,231,NA,393,2,70,88,NA,160,1,22,26,NA,49,7,38,54,NA,99,NA,NA,80,NA,80,NA,NA,NA,NA,NA,13,370,607,NA,990,0.5,0.425,0.462,NA,0.447,0,0.305,0.268,NA,0.295,0.625,0.636,0.814,NA,0.765,3.6,25,31.6,NA,25.3,1.3,10.3,16.9,NA,12.1,0.7,4.3,6.4,NA,4.8,0.2,1.9,2.4,NA,2,"alexajo01","Joe Alexander",0.5
"34",67,1,"2007-08","2008-09","2009-10","2010-11","Career",18,19,20,21,NA,"TEMPLE","TEMPLE","TEMPLE","TEMPLE",NA,34,33,35,33,135,NA,NA,1206,1120,2326,116,151,171,154,592,208,261,319,321,1109,2,7,5,5,19,5,21,23,17,66,42,52,55,69,218,57,81,88,99,325,NA,NA,124,88,212,193,296,375,283,1147,55,68,83,75,281,17,13,19,23,72,52,50,50,61,213,40,42,53,54,189,NA,NA,78,75,153,276,361,402,382,1421,0.558,0.579,0.536,0.48,0.534,0.4,0.333,0.217,0.294,0.288,0.737,0.642,0.625,0.697,0.671,NA,NA,34.5,33.9,34.2,8.1,10.9,11.5,11.6,10.5,5.7,9,10.7,8.6,8.5,1.6,2.1,2.4,2.3,2.1,"allenla01","Lavoy Allen",13.8
"38",75,1,"2003-04","2004-05","2005-06","2006-07","Career",18,19,20,21,NA,"RICE","RICE","RICE","RICE",NA,30,31,28,32,121,299,1006,905,1069,3279,56,84,224,263,627,123,160,448,544,1275,10,18,48,77,153,36,39,108,169,352,23,38,116,241,418,29,47,146,285,507,NA,NA,NA,NA,NA,30,65,114,210,419,17,33,32,37,119,7,5,39,38,89,11,11,19,24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,224,612,844,1825,0.455,0.525,0.5,0.483,0.492,0.278,0.462,0.444,0.456,0.435,0.793,0.809,0.795,0.846,0.824,10,32.5,32.3,33.4,27.1,4.8,7.2,21.9,26.4,15.1,1,2.1,4.1,6.6,3.5,0.6,1.1,1.1,1.2,1,"almonmo01","Morris Almond",0
"41",81,1,"2008-09","2009-10",NA,NA,"Career",18,19,NA,NA,NA,"WAKE","WAKE",NA,NA,NA,31,31,NA,NA,62,NA,970,NA,NA,970,146,167,NA,NA,313,283,374,NA,NA,657,7,18,NA,NA,25,39,66,NA,NA,105,102,139,NA,NA,241,152,199,NA,NA,351,NA,133,NA,NA,133,253,332,NA,NA,585,46,41,NA,NA,87,30,44,NA,NA,74,38,44,NA,NA,82,81,99,NA,NA,180,NA,91,NA,NA,91,401,491,NA,NA,892,0.516,0.447,NA,NA,0.476,0.179,0.273,NA,NA,0.238,0.671,0.698,NA,NA,0.687,NA,31.3,NA,NA,31.3,12.9,15.8,NA,NA,14.4,8.2,10.7,NA,NA,9.4,1.5,1.3,NA,NA,1.4,"aminual01","Al-Farouq Aminu",19.3
"45",89,1,"2007-08","2008-09","2009-10",NA,"Career",18,19,20,NA,NA,"OKSTATE","OKSTATE","OKSTATE",NA,NA,33,35,33,NA,101,NA,NA,1124,NA,1124,148,209,226,NA,583,340,434,494,NA,1268,67,84,74,NA,225,177,206,217,NA,600,75,136,209,NA,420,105,164,258,NA,527,NA,NA,64,NA,64,123,198,192,NA,513,35,48,80,NA,163,26,40,46,NA,112,16,24,20,NA,60,65,69,78,NA,212,NA,NA,88,NA,88,438,638,735,NA,1811,0.435,0.482,0.457,NA,0.46,0.379,0.408,0.341,NA,0.375,0.714,0.829,0.81,NA,0.797,NA,NA,34.1,NA,34.1,13.3,18.2,22.3,NA,17.9,3.7,5.7,5.8,NA,5.1,1.1,1.4,2.4,NA,1.6,"anderja01","James Anderson",3.3
"47",93,1,"2012-13","2013-14","2014-15",NA,"Career",19,20,21,NA,NA,"VIRGINIA","VIRGINIA","VIRGINIA",NA,NA,35,37,26,NA,98,841,799,724,NA,2364,89,96,103,NA,288,212,236,221,NA,669,20,30,47,NA,97,66,102,104,NA,272,68,68,64,NA,200,89,95,82,NA,266,32,26,17,NA,75,116,120,105,NA,341,81,54,45,NA,180,30,13,17,NA,60,42,28,14,NA,84,43,51,31,NA,125,49,58,30,NA,137,266,290,317,NA,873,0.42,0.407,0.466,NA,0.43,0.303,0.294,0.452,NA,0.357,0.764,0.716,0.78,NA,0.752,24,21.6,27.8,NA,24.1,7.6,7.8,12.2,NA,8.9,3.3,3.2,4,NA,3.5,2.3,1.5,1.7,NA,1.8,"anderju01","Justin Anderson",3.2
"49",97,1,"2012-13","2013-14",NA,NA,"Career",19,20,NA,NA,NA,"UCLA","UCLA",NA,NA,NA,35,36,NA,NA,71,1046,1196,NA,NA,2242,122,181,NA,NA,303,293,377,NA,NA,670,8,28,NA,NA,36,38,58,NA,NA,96,86,137,NA,NA,223,117,186,NA,NA,303,74,45,NA,NA,119,302,315,NA,NA,617,122,233,NA,NA,355,62,64,NA,NA,126,31,27,NA,NA,58,73,110,NA,NA,183,72,60,NA,NA,132,338,527,NA,NA,865,0.416,0.48,NA,NA,0.452,0.211,0.483,NA,NA,0.375,0.735,0.737,NA,NA,0.736,29.9,33.2,NA,NA,31.6,9.7,14.6,NA,NA,12.2,8.6,8.8,NA,NA,8.7,3.5,6.5,NA,NA,5,"anderky01","Kyle Anderson",9.7
"54",107,1,"2006-07","2007-08",NA,NA,"Career",18,19,NA,NA,NA,"CALIFORNIA","CALIFORNIA",NA,NA,NA,33,33,NA,NA,66,1096,1082,NA,NA,2178,189,230,NA,NA,419,397,469,NA,NA,866,58,64,NA,NA,122,152,156,NA,NA,308,103,173,NA,NA,276,129,199,NA,NA,328,NA,NA,NA,NA,NA,269,328,NA,NA,597,16,47,NA,NA,63,22,12,NA,NA,34,18,18,NA,NA,36,NA,74,NA,NA,74,NA,NA,NA,NA,NA,539,697,NA,NA,1236,0.476,0.49,NA,NA,0.484,0.382,0.41,NA,NA,0.396,0.798,0.869,NA,NA,0.841,33.2,32.8,NA,NA,33,16.3,21.1,NA,NA,18.7,8.2,9.9,NA,NA,9,0.5,1.4,NA,NA,1,"anderry01","Ryan Anderson",45.1
"74",147,1,"2006-07","2007-08",NA,NA,"Career",18,19,NA,NA,NA,"KANSAS","KANSAS",NA,NA,NA,38,40,NA,NA,78,721,989,NA,NA,1710,155,214,NA,NA,369,288,394,NA,NA,682,0,2,NA,NA,2,5,12,NA,NA,17,64,80,NA,NA,144,99,114,NA,NA,213,NA,NA,NA,NA,NA,177,250,NA,NA,427,17,33,NA,NA,50,33,20,NA,NA,53,56,53,NA,NA,109,NA,75,NA,NA,75,NA,NA,NA,NA,NA,374,510,NA,NA,884,0.538,0.543,NA,NA,0.541,0,0.167,NA,NA,0.118,0.646,0.702,NA,NA,0.676,19,24.7,NA,NA,21.9,9.8,12.8,NA,NA,11.3,4.7,6.3,NA,NA,5.5,0.4,0.8,NA,NA,0.6,"arthuda01","Darrell Arthur",12
