"","X1","X","Season1","Season2","Season3","Season4","Season5","Age1","Age2","Age3","Age4","Age5","College1","College2","College3","College4","College5","G1","G2","G3","G4","G5","MP1","MP2","MP3","MP4","MP5","FG1","FG2","FG3","FG4","FG5","FGA1","FGA2","FGA3","FGA4","FGA5","X3P1","X3P2","X3P3","X3P4","X3P5","X3PA1","X3PA2","X3PA3","X3PA4","X3PA5","FT1","FT2","FT3","FT4","FT5","FTA1","FTA2","FTA3","FTA4","FTA5","ORB1","ORB2","ORB3","ORB4","ORB5","TRB1","TRB2","TRB3","TRB4","TRB5","AST1","AST2","AST3","AST4","AST5","STL1","STL2","STL3","STL4","STL5","BLK1","BLK2","BLK3","BLK4","BLK5","TOV1","TOV2","TOV3","TOV4","TOV5","PF1","PF2","PF3","PF4","PF5","PTS1","PTS2","PTS3","PTS4","PTS5","FG.1","FG.2","FG.3","FG.4","FG.5","X3P.1","X3P.2","X3P.3","X3P.4","X3P.5","FT.1","FT.2","FT.3","FT.4","FT.5","MP1.1","MP2.1","MP3.1","MP4.1","MP5.1","PTS1.1","PTS2.1","PTS3.1","PTS4.1","PTS5.1","TRB1.1","TRB2.1","TRB3.1","TRB4.1","TRB5.1","AST1.1","AST2.1","AST3.1","AST4.1","AST5.1","player_id","name","ws"
"1",1666,1,"2016-17",NA,NA,NA,"Career",18,NA,NA,NA,NA,"WASHINGTON",NA,NA,NA,NA,25,NA,NA,NA,25,892,NA,NA,NA,892,209,NA,NA,NA,209,439,NA,NA,NA,439,52,NA,NA,NA,52,126,NA,NA,NA,126,109,NA,NA,NA,109,168,NA,NA,NA,168,"33",NA,NA,NA,"33",143,NA,NA,NA,143,148,NA,NA,NA,148,40,NA,NA,NA,40,30,NA,NA,NA,30,80,NA,NA,NA,80,63,NA,NA,NA,63,579,NA,NA,NA,579,0.476,NA,NA,NA,0.476,0.413,NA,NA,NA,0.413,0.649,NA,NA,NA,0.649,35.7,NA,NA,NA,35.7,23.2,NA,NA,NA,23.2,5.7,NA,NA,NA,5.7,5.9,NA,NA,NA,5.9,"fultzma01","Markelle Fultz",-0.1
"2",1667,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"UCLA",NA,NA,NA,NA,36,NA,NA,NA,36,1263,NA,NA,NA,1263,189,NA,NA,NA,189,343,NA,NA,NA,343,80,NA,NA,NA,80,194,NA,NA,NA,194,66,NA,NA,NA,66,98,NA,NA,NA,98,"33",NA,NA,NA,"33",216,NA,NA,NA,216,274,NA,NA,NA,274,66,NA,NA,NA,66,28,NA,NA,NA,28,89,NA,NA,NA,89,65,NA,NA,NA,65,524,NA,NA,NA,524,0.551,NA,NA,NA,0.551,0.412,NA,NA,NA,0.412,0.673,NA,NA,NA,0.673,35.1,NA,NA,NA,35.1,14.6,NA,NA,NA,14.6,6,NA,NA,NA,6,7.6,NA,NA,NA,7.6,"balllo01","Lonzo Ball",1
"3",1668,1,"2016-17",NA,NA,NA,"Career",18,NA,NA,NA,NA,"DUKE",NA,NA,NA,NA,29,NA,NA,NA,29,966,NA,NA,NA,966,165,NA,NA,NA,165,365,NA,NA,NA,365,40,NA,NA,NA,40,117,NA,NA,NA,117,118,NA,NA,NA,118,139,NA,NA,NA,139,"39",NA,NA,NA,"39",213,NA,NA,NA,213,62,NA,NA,NA,62,39,NA,NA,NA,39,33,NA,NA,NA,33,76,NA,NA,NA,76,86,NA,NA,NA,86,488,NA,NA,NA,488,0.452,NA,NA,NA,0.452,0.342,NA,NA,NA,0.342,0.849,NA,NA,NA,0.849,33.3,NA,NA,NA,33.3,16.8,NA,NA,NA,16.8,7.3,NA,NA,NA,7.3,2.1,NA,NA,NA,2.1,"tatumja01","Jayson Tatum",5.2
"4",1669,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"KANSAS",NA,NA,NA,NA,35,NA,NA,NA,35,1077,NA,NA,NA,1077,220,NA,NA,NA,220,429,NA,NA,NA,429,34,NA,NA,NA,34,90,NA,NA,NA,90,98,NA,NA,NA,98,173,NA,NA,NA,173,"81",NA,NA,NA,"81",258,NA,NA,NA,258,104,NA,NA,NA,104,59,NA,NA,NA,59,37,NA,NA,NA,37,97,NA,NA,NA,97,104,NA,NA,NA,104,572,NA,NA,NA,572,0.513,NA,NA,NA,0.513,0.378,NA,NA,NA,0.378,0.566,NA,NA,NA,0.566,30.8,NA,NA,NA,30.8,16.3,NA,NA,NA,16.3,7.4,NA,NA,NA,7.4,3,NA,NA,NA,3,"jacksjo02","Josh Jackson",-0.9
"5",1670,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"KENTUCKY",NA,NA,NA,NA,36,NA,NA,NA,36,1064,NA,NA,NA,1064,214,NA,NA,NA,214,447,NA,NA,NA,447,17,NA,NA,NA,17,69,NA,NA,NA,69,156,NA,NA,NA,156,212,NA,NA,NA,212,"21",NA,NA,NA,"21",143,NA,NA,NA,143,165,NA,NA,NA,165,53,NA,NA,NA,53,7,NA,NA,NA,7,87,NA,NA,NA,87,90,NA,NA,NA,90,601,NA,NA,NA,601,0.479,NA,NA,NA,0.479,0.246,NA,NA,NA,0.246,0.736,NA,NA,NA,0.736,29.6,NA,NA,NA,29.6,16.7,NA,NA,NA,16.7,4,NA,NA,NA,4,4.6,NA,NA,NA,4.6,"foxde01","De'Aaron Fox",-0.8
"6",1671,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"FLORIDAST",NA,NA,NA,NA,32,NA,NA,NA,32,839,NA,NA,NA,839,130,NA,NA,NA,130,256,NA,NA,NA,256,31,NA,NA,NA,31,89,NA,NA,NA,89,92,NA,NA,NA,92,118,NA,NA,NA,118,"56",NA,NA,NA,"56",251,NA,NA,NA,251,37,NA,NA,NA,37,37,NA,NA,NA,37,49,NA,NA,NA,49,48,NA,NA,NA,48,70,NA,NA,NA,70,383,NA,NA,NA,383,0.508,NA,NA,NA,0.508,0.348,NA,NA,NA,0.348,0.78,NA,NA,NA,0.78,26.2,NA,NA,NA,26.2,12,NA,NA,NA,12,7.8,NA,NA,NA,7.8,1.2,NA,NA,NA,1.2,"isaacjo01","Jonathan Isaac",0.1
"7",1672,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"ARIZONA",NA,NA,NA,NA,37,NA,NA,NA,37,1140,NA,NA,NA,1140,185,NA,NA,NA,185,376,NA,NA,NA,376,69,NA,NA,NA,69,163,NA,NA,NA,163,137,NA,NA,NA,137,164,NA,NA,NA,164,"88",NA,NA,NA,"88",266,NA,NA,NA,266,32,NA,NA,NA,32,15,NA,NA,NA,15,19,NA,NA,NA,19,40,NA,NA,NA,40,73,NA,NA,NA,73,576,NA,NA,NA,576,0.492,NA,NA,NA,0.492,0.423,NA,NA,NA,0.423,0.835,NA,NA,NA,0.835,30.8,NA,NA,NA,30.8,15.6,NA,NA,NA,15.6,7.2,NA,NA,NA,7.2,0.9,NA,NA,NA,0.9,"markkla01","Lauri Markkanen",2.3
"8",1673,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"GONZAGA",NA,NA,NA,NA,39,NA,NA,NA,39,673,NA,NA,NA,673,135,NA,NA,NA,135,207,NA,NA,NA,207,10,NA,NA,NA,10,21,NA,NA,NA,21,110,NA,NA,NA,110,148,NA,NA,NA,148,"66",NA,NA,NA,"66",230,NA,NA,NA,230,16,NA,NA,NA,16,18,NA,NA,NA,18,69,NA,NA,NA,69,60,NA,NA,NA,60,105,NA,NA,NA,105,390,NA,NA,NA,390,0.652,NA,NA,NA,0.652,0.476,NA,NA,NA,0.476,0.743,NA,NA,NA,0.743,17.3,NA,NA,NA,17.3,10,NA,NA,NA,10,5.9,NA,NA,NA,5.9,0.4,NA,NA,NA,0.4,"colliza01","Zach Collins",0.2
"9",1674,1,"2016-17",NA,NA,NA,"Career",18,NA,NA,NA,NA,"KENTUCKY",NA,NA,NA,NA,38,NA,NA,NA,38,1218,NA,NA,NA,1218,251,NA,NA,NA,251,558,NA,NA,NA,558,104,NA,NA,NA,104,262,NA,NA,NA,262,148,NA,NA,NA,148,180,NA,NA,NA,180,"12",NA,NA,NA,"12",95,NA,NA,NA,95,87,NA,NA,NA,87,36,NA,NA,NA,36,19,NA,NA,NA,19,75,NA,NA,NA,75,72,NA,NA,NA,72,754,NA,NA,NA,754,0.45,NA,NA,NA,0.45,0.397,NA,NA,NA,0.397,0.822,NA,NA,NA,0.822,32.1,NA,NA,NA,32.1,19.8,NA,NA,NA,19.8,2.5,NA,NA,NA,2.5,2.3,NA,NA,NA,2.3,"monkma01","Malik Monk",0
"10",1675,1,"2015-16","2016-17",NA,NA,"Career",19,20,NA,NA,NA,"DUKE","DUKE",NA,NA,NA,36,37,NA,NA,73,961,1314,NA,NA,2275,141,237,NA,NA,378,335,485,NA,NA,820,55,88,NA,NA,143,172,201,NA,NA,373,88,160,NA,NA,248,99,187,NA,NA,286,"35","43",NA,NA,"78",129,188,NA,NA,317,55,91,NA,NA,146,34,31,NA,NA,65,6,13,NA,NA,19,28,59,NA,NA,87,69,83,NA,NA,152,425,722,NA,NA,1147,0.421,0.489,NA,NA,0.461,0.32,0.438,NA,NA,0.383,0.889,0.856,NA,NA,0.867,26.7,35.5,NA,NA,31.2,11.8,19.5,NA,NA,15.7,3.6,5.1,NA,NA,4.3,1.5,2.5,NA,NA,2,"kennalu01","Luke Kennard",0.9
"11",1676,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"KENTUCKY",NA,NA,NA,NA,38,NA,NA,NA,38,1145,NA,NA,NA,1145,170,NA,NA,NA,170,284,NA,NA,NA,284,0,NA,NA,NA,0,0,NA,NA,NA,0,154,NA,NA,NA,154,236,NA,NA,NA,236,"118",NA,NA,NA,"118",304,NA,NA,NA,304,32,NA,NA,NA,32,26,NA,NA,NA,26,57,NA,NA,NA,57,64,NA,NA,NA,64,99,NA,NA,NA,99,494,NA,NA,NA,494,0.599,NA,NA,NA,0.599,NA,NA,NA,NA,NA,0.653,NA,NA,NA,0.653,30.1,NA,NA,NA,30.1,13,NA,NA,NA,13,8,NA,NA,NA,8,0.8,NA,NA,NA,0.8,"adebaba01","Bam Adebayo",2.3
"12",1677,1,"2014-15","2015-16","2016-17",NA,"Career",19,20,21,NA,NA,"UNC","UNC","UNC",NA,NA,38,40,40,NA,118,1014,1135,1281,NA,3430,157,202,264,NA,623,329,428,596,NA,1353,28,37,105,NA,170,92,124,284,NA,500,66,68,98,NA,232,93,102,131,NA,326,"52","71","58",NA,"181",139,156,186,NA,481,88,111,113,NA,312,20,25,31,NA,76,19,17,9,NA,45,52,43,69,NA,164,55,69,55,NA,179,408,509,731,NA,1648,0.477,0.472,0.443,NA,0.46,0.304,0.298,0.37,NA,0.34,0.71,0.667,0.748,NA,0.712,26.7,28.4,32,NA,29.1,10.7,12.7,18.3,NA,14,3.7,3.9,4.7,NA,4.1,2.3,2.8,2.8,NA,2.6,"jacksju01","Justin Jackson",-0.2
"13",1678,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"CREIGHTON",NA,NA,NA,NA,35,NA,NA,NA,35,885,NA,NA,NA,885,200,NA,NA,NA,200,296,NA,NA,NA,296,8,NA,NA,NA,8,15,NA,NA,NA,15,45,NA,NA,NA,45,87,NA,NA,NA,87,"59",NA,NA,NA,"59",218,NA,NA,NA,218,41,NA,NA,NA,41,30,NA,NA,NA,30,50,NA,NA,NA,50,60,NA,NA,NA,60,96,NA,NA,NA,96,453,NA,NA,NA,453,0.676,NA,NA,NA,0.676,0.533,NA,NA,NA,0.533,0.517,NA,NA,NA,0.517,25.3,NA,NA,NA,25.3,12.9,NA,NA,NA,12.9,6.2,NA,NA,NA,6.2,1.2,NA,NA,NA,1.2,"pattoju01","Justin Patton",NA
"14",1679,1,"2014-15","2015-16","2016-17",NA,"Career",18,19,20,NA,NA,"MICHIGAN","MICHIGAN","MICHIGAN",NA,NA,5,26,38,NA,69,24,158,1155,NA,1337,1,27,164,NA,192,4,57,305,NA,366,0,8,41,NA,49,1,24,110,NA,135,0,8,50,NA,58,0,11,60,NA,71,"1","4","57",NA,"62",6,18,203,NA,227,0,8,50,NA,58,0,5,20,NA,25,3,10,57,NA,70,1,9,42,NA,52,4,21,72,NA,97,2,70,419,NA,491,0.25,0.474,0.538,NA,0.525,0,0.333,0.373,NA,0.363,NA,0.727,0.833,NA,0.817,4.8,6.1,30.4,NA,19.4,0.4,2.7,11,NA,7.1,1.2,0.7,5.3,NA,3.3,0,0.3,1.3,NA,0.8,"wilsodj01","D.J. Wilson",-0.1
"15",1680,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"UCLA",NA,NA,NA,NA,35,NA,NA,NA,35,1048,NA,NA,NA,1048,235,NA,NA,NA,235,381,NA,NA,NA,381,27,NA,NA,NA,27,58,NA,NA,NA,58,72,NA,NA,NA,72,106,NA,NA,NA,106,"78",NA,NA,NA,"78",287,NA,NA,NA,287,85,NA,NA,NA,85,22,NA,NA,NA,22,39,NA,NA,NA,39,52,NA,NA,NA,52,89,NA,NA,NA,89,569,NA,NA,NA,569,0.617,NA,NA,NA,0.617,0.466,NA,NA,NA,0.466,0.679,NA,NA,NA,0.679,29.9,NA,NA,NA,29.9,16.3,NA,NA,NA,16.3,8.2,NA,NA,NA,8.2,2.4,NA,NA,NA,2.4,"leaftj01","T.J. Leaf",0.5
"16",1681,1,"2015-16","2016-17",NA,NA,"Career",18,19,NA,NA,NA,"WAKE","WAKE",NA,NA,NA,31,33,NA,NA,64,446,878,NA,NA,1324,81,234,NA,NA,315,148,376,NA,NA,524,0,0,NA,NA,0,0,1,NA,NA,1,65,164,NA,NA,229,94,220,NA,NA,314,"52","124",NA,NA,"176",122,324,NA,NA,446,7,17,NA,NA,24,9,21,NA,NA,30,23,52,NA,NA,75,31,60,NA,NA,91,82,98,NA,NA,180,227,632,NA,NA,859,0.547,0.622,NA,NA,0.601,NA,0,NA,NA,0,0.691,0.745,NA,NA,0.729,14.4,26.6,NA,NA,20.7,7.3,19.2,NA,NA,13.4,3.9,9.8,NA,NA,7,0.2,0.5,NA,NA,0.4,"collijo01","John Collins",NA
"17",1682,1,"2016-17",NA,NA,NA,"Career",18,NA,NA,NA,NA,"TEXAS",NA,NA,NA,NA,33,NA,NA,NA,33,1061,NA,NA,NA,1061,179,NA,NA,NA,179,316,NA,NA,NA,316,0,NA,NA,NA,0,7,NA,NA,NA,7,84,NA,NA,NA,84,149,NA,NA,NA,149,"100",NA,NA,NA,"100",278,NA,NA,NA,278,27,NA,NA,NA,27,19,NA,NA,NA,19,51,NA,NA,NA,51,84,NA,NA,NA,84,68,NA,NA,NA,68,442,NA,NA,NA,442,0.566,NA,NA,NA,0.566,0,NA,NA,NA,0,0.564,NA,NA,NA,0.564,32.2,NA,NA,NA,32.2,13.4,NA,NA,NA,13.4,8.4,NA,NA,NA,8.4,0.8,NA,NA,NA,0.8,"allenja01","Jarrett Allen",1.5
"18",1683,1,"2015-16","2016-17",NA,NA,"Career",18,19,NA,NA,NA,"INDIANA","INDIANA",NA,NA,NA,34,16,NA,NA,50,466,402,NA,NA,868,66,68,NA,NA,134,116,122,NA,NA,238,13,14,NA,NA,27,29,45,NA,NA,74,20,27,NA,NA,47,42,48,NA,NA,90,"42","28",NA,NA,"70",90,87,NA,NA,177,18,23,NA,NA,41,27,21,NA,NA,48,26,21,NA,NA,47,28,26,NA,NA,54,52,33,NA,NA,85,165,177,NA,NA,342,0.569,0.557,NA,NA,0.563,0.448,0.311,NA,NA,0.365,0.476,0.563,NA,NA,0.522,13.7,25.1,NA,NA,17.4,4.9,11.1,NA,NA,6.8,2.6,5.4,NA,NA,3.5,0.5,1.4,NA,NA,0.8,"anunoog01","OG Anunoby",1.9
"19",1684,1,"2015-16","2016-17",NA,NA,"Career",19,20,NA,NA,NA,"SYRACUSE","SYRACUSE",NA,NA,NA,37,34,NA,NA,71,1122,1227,NA,NA,2349,127,151,NA,NA,278,265,319,NA,NA,584,49,49,NA,NA,98,121,124,NA,NA,245,72,97,NA,NA,169,93,116,NA,NA,209,"66","79",NA,NA,"145",233,294,NA,NA,527,41,70,NA,NA,111,42,35,NA,NA,77,67,49,NA,NA,116,47,59,NA,NA,106,100,84,NA,NA,184,375,448,NA,NA,823,0.479,0.473,NA,NA,0.476,0.405,0.395,NA,NA,0.4,0.774,0.836,NA,NA,0.809,30.3,36.1,NA,NA,33.1,10.1,13.2,NA,NA,11.6,6.3,8.6,NA,NA,7.4,1.1,2.1,NA,NA,1.6,"lydonty01","Tyler Lydon",0
"20",1685,1,"2015-16","2016-17",NA,NA,"Career",18,19,NA,NA,NA,"PURDUE","PURDUE",NA,NA,NA,34,35,NA,NA,69,875,1139,NA,NA,2014,130,222,NA,NA,352,282,421,NA,NA,703,21,38,NA,NA,59,72,85,NA,NA,157,67,164,NA,NA,231,94,210,NA,NA,304,"54","96",NA,NA,"150",282,436,NA,NA,718,61,107,NA,NA,168,12,15,NA,NA,27,8,28,NA,NA,36,90,118,NA,NA,208,75,97,NA,NA,172,348,646,NA,NA,994,0.461,0.527,NA,NA,0.501,0.292,0.447,NA,NA,0.376,0.713,0.781,NA,NA,0.76,25.7,32.5,NA,NA,29.2,10.2,18.5,NA,NA,14.4,8.3,12.5,NA,NA,10.4,1.8,3.1,NA,NA,2.4,"swanica01","Caleb Swanigan",0
"21",1686,1,"2016-17",NA,NA,NA,"Career",19,NA,NA,NA,NA,"UNC",NA,NA,NA,NA,38,NA,NA,NA,38,553,NA,NA,NA,553,102,NA,NA,NA,102,178,NA,NA,NA,178,0,NA,NA,NA,0,0,NA,NA,NA,0,65,NA,NA,NA,65,105,NA,NA,NA,105,"98",NA,NA,NA,"98",195,NA,NA,NA,195,23,NA,NA,NA,23,10,NA,NA,NA,10,22,NA,NA,NA,22,25,NA,NA,NA,25,69,NA,NA,NA,69,269,NA,NA,NA,269,0.573,NA,NA,NA,0.573,NA,NA,NA,NA,NA,0.619,NA,NA,NA,0.619,14.6,NA,NA,NA,14.6,7.1,NA,NA,NA,7.1,5.1,NA,NA,NA,5.1,0.6,NA,NA,NA,0.6,"bradlto01","Tony Bradley",0
"22",1687,1,"2013-14","2014-15","2015-16","2016-17","Career",18,19,20,21,NA,"VILLANOVA","VILLANOVA","VILLANOVA","VILLANOVA",NA,34,36,40,36,146,728,917,1255,1193,4093,87,124,230,236,677,174,241,448,463,1326,26,52,55,74,207,83,112,154,183,532,65,65,103,127,360,96,97,137,170,500,"62","65","74","51","252",151,161,270,230,812,30,53,77,106,266,19,40,46,56,161,9,14,10,10,43,19,38,66,71,194,83,76,87,81,327,265,365,618,673,1921,0.5,0.515,0.513,0.51,0.511,0.313,0.464,0.357,0.404,0.389,0.677,0.67,0.752,0.747,0.72,21.4,25.5,31.4,33.1,28,7.8,10.1,15.5,18.7,13.2,4.4,4.5,6.8,6.4,5.6,0.9,1.5,1.9,2.9,1.8,"hartjo01","Josh Hart",1.4
"23",1688,1,"2016-17",NA,NA,NA,"Career",18,NA,NA,NA,NA,"DUKE",NA,NA,NA,NA,36,NA,NA,NA,36,895,NA,NA,NA,895,133,NA,NA,NA,133,281,NA,NA,NA,281,51,NA,NA,NA,51,129,NA,NA,NA,129,77,NA,NA,NA,77,102,NA,NA,NA,102,"23",NA,NA,NA,"23",90,NA,NA,NA,90,61,NA,NA,NA,61,20,NA,NA,NA,20,2,NA,NA,NA,2,49,NA,NA,NA,49,85,NA,NA,NA,85,394,NA,NA,NA,394,0.473,NA,NA,NA,0.473,0.395,NA,NA,NA,0.395,0.755,NA,NA,NA,0.755,24.9,NA,NA,NA,24.9,10.9,NA,NA,NA,10.9,2.5,NA,NA,NA,2.5,1.7,NA,NA,NA,1.7,"jacksfr01","Frank Jackson",NA
"24",1689,1,"2013-14","2014-15","2015-16","2016-17","Career",18,19,20,21,NA,"MIAMIFL","MIAMIFL","MIAMIFL","MIAMIFL",NA,33,30,35,33,131,683,824,1007,1165,3679,71,77,129,161,438,207,164,275,372,1018,40,37,46,79,202,112,81,120,199,512,35,56,84,90,265,52,77,103,108,340,"12","25","21","28","86",55,121,143,158,477,38,57,42,79,216,16,27,27,43,113,4,13,15,16,48,44,32,44,67,187,55,68,72,52,247,217,247,388,491,1343,0.343,0.47,0.469,0.433,0.43,0.357,0.457,0.383,0.397,0.395,0.673,0.727,0.816,0.833,0.779,20.7,27.5,28.8,35.3,28.1,6.6,8.2,11.1,14.9,10.3,1.7,4,4.1,4.8,3.6,1.2,1.9,1.2,2.4,1.6,"reedda01","Davon Reed",0
"25",1690,1,"2013-14","2014-15","2015-16","2016-17","Career",19,20,21,22,NA,"KANSASST","KANSASST","KANSASST","KANSASST",NA,33,31,33,35,132,780,780,1070,1098,3728,71,63,140,151,425,154,156,293,314,917,7,6,6,32,51,17,19,30,85,151,71,47,108,122,348,112,79,156,159,506,"43","34","39","36","152",139,108,150,221,618,61,61,123,121,366,19,23,44,35,121,12,20,8,12,52,42,62,95,81,280,71,65,78,63,277,220,179,394,456,1249,0.461,0.404,0.478,0.481,0.463,0.412,0.316,0.2,0.376,0.338,0.634,0.595,0.692,0.767,0.688,23.6,25.2,32.4,31.4,28.2,6.7,5.8,11.9,13,9.5,4.2,3.5,4.5,6.3,4.7,1.8,2,3.7,3.5,2.8,"iwundwe01","Wesley Iwundu",0.4
"26",1691,1,"2013-14","2014-15","2015-16","2016-17","Career",19,20,21,22,NA,"KANSAS","KANSAS","KANSAS","KANSAS",NA,35,36,38,36,145,565,1207,1272,1301,4345,63,150,155,241,609,151,340,357,492,1340,18,42,43,82,185,55,98,113,174,440,47,110,136,189,482,71,140,184,238,633,"8","22","27","22","79",46,141,163,150,500,72,142,175,187,576,18,50,50,47,165,1,4,3,2,10,37,74,73,86,270,65,65,84,73,287,191,452,489,753,1885,0.417,0.441,0.434,0.49,0.454,0.327,0.429,0.381,0.471,0.42,0.662,0.786,0.739,0.794,0.761,16.1,33.5,33.5,36.1,30,5.5,12.6,12.9,20.9,13,1.3,3.9,4.3,4.2,3.4,2.1,3.9,4.6,5.2,4,"masonfr01","Frank Mason",0.1
"27",1692,1,"2015-16","2016-17",NA,NA,"Career",18,19,NA,NA,NA,"CALIFORNIA","CALIFORNIA",NA,NA,NA,34,31,NA,NA,65,975,1012,NA,NA,1987,161,151,NA,NA,312,262,312,NA,NA,574,1,8,NA,NA,9,2,20,NA,NA,22,103,124,NA,NA,227,154,187,NA,NA,341,"94","94",NA,NA,"188",290,324,NA,NA,614,31,48,NA,NA,79,18,21,NA,NA,39,42,31,NA,NA,73,52,67,NA,NA,119,105,96,NA,NA,201,426,434,NA,NA,860,0.615,0.484,NA,NA,0.544,0.5,0.4,NA,NA,0.409,0.669,0.663,NA,NA,0.666,28.7,32.6,NA,NA,30.6,12.5,14,NA,NA,13.2,8.5,10.5,NA,NA,9.4,0.9,1.5,NA,NA,1.2,"rabbiv01","Ivan Rabb",0.1
"28",1693,1,"2015-16",NA,NA,NA,"Career",20,NA,NA,NA,NA,"UCLA",NA,NA,NA,NA,31,NA,NA,NA,31,672,NA,NA,NA,672,51,NA,NA,NA,51,123,NA,NA,NA,123,9,NA,NA,NA,9,36,NA,NA,NA,36,33,NA,NA,NA,33,45,NA,NA,NA,45,"36",NA,NA,NA,"36",150,NA,NA,NA,150,33,NA,NA,NA,33,21,NA,NA,NA,21,27,NA,NA,NA,27,26,NA,NA,NA,26,64,NA,NA,NA,64,144,NA,NA,NA,144,0.415,NA,NA,NA,0.415,0.25,NA,NA,NA,0.25,0.733,NA,NA,NA,0.733,21.7,NA,NA,NA,21.7,4.6,NA,NA,NA,4.6,4.8,NA,NA,NA,4.8,1.1,NA,NA,NA,1.1,"boldejo01","Jonah Bolden",NA
"29",1694,1,"2014-15","2015-16","2016-17",NA,"Career",20,21,22,NA,NA,"OREGON","OREGON","OREGON",NA,NA,35,31,39,NA,105,831,636,1124,NA,2591,83,91,171,NA,345,139,158,269,NA,566,0,0,3,NA,3,0,2,14,NA,16,11,28,82,NA,121,21,54,117,NA,192,"66","46","112",NA,"224",214,163,342,NA,719,47,38,70,NA,155,28,34,49,NA,111,94,52,88,NA,234,37,50,75,NA,162,95,78,68,NA,241,177,210,427,NA,814,0.597,0.576,0.636,NA,0.61,NA,0,0.214,NA,0.188,0.524,0.519,0.701,NA,0.63,23.7,20.5,28.8,NA,24.7,5.1,6.8,10.9,NA,7.8,6.1,5.3,8.8,NA,6.8,1.3,1.2,1.8,NA,1.5,"belljo01","Jordan Bell",2.3
