"G","MP","FG","FGA","3P","3PA","FT","FTA","ORB","TRB","AST","STL","BLK","TOV","PF","PTS","FG%","3P%","FT%","MP.1","PTS.1","TRB.1","AST.1","player_id","name","ws"
"88","3023","449","983","120","292","255","310","","495","249","133","38","","","1273",".457",".411",".823","34.4","14.5","5.6","2.8","ackeral01","Alex Acker",-0.2
"139","2930","503","835","3","7","351","496","251","828","86","102","177","214","280","1360",".602",".429",".708","27.9","9.8","6.0","0.6","acyqu01","Quincy Acy",8.1
"130","3609","750","1503","75","241","243","345","","706","259","238","85","","","1818",".499",".311",".704","27.8","14.0","5.4","2.0","adamsha01","Hassan Adams",0.8
"69","2081","373","798","98","296","287","342","88","319","142","168","17","94","147","1131",".467",".331",".839","30.2","16.4","4.6","2.1","adamsjo01","Jordan Adams",0.4
"32","749","100","175","0","0","31","70","90","203","20","21","65","35","52","231",".571","",".443","23.4","7.2","6.3","0.6","adamsst01","Steven Adams",25.4
"104","3396","519","1135","209","560","293","375","","360","202","64","20","","","1540",".457",".373",".781","32.7","14.8","3.5","1.9","afflaar01","Arron Afflalo",33.3
"124","3176","523","1185","202","532","306","395","","424","181","62","39","","","1554",".441",".380",".775","25.6","12.5","3.4","1.5","agerma01","Maurice Ager",-0.9
"77","820","270","506","0","1","164","220","79","415","28","39","159","128","75","704",".534",".000",".745","25.6","9.1","5.4","0.4","alabiso01","Solomon Alabi",0
"111","963","391","681","0","0","256","351","110","860","72","59","253","133","92","1038",".574","",".729","26.8","9.4","7.7","0.6","aldrico01","Cole Aldrich",9.6
"53","1602","276","471","0","0","161","248","","434","34","67","97","","","713",".586","",".649","30.2","13.5","8.2","0.6","aldrila01","LaMarcus Aldridge",93.1
"112","3456","805","1767","166","458","336","438","","441","249","128","21","220","246","2112",".456",".362",".767","30.9","18.9","3.9","2.2","alexaco02","Courtney Alexander",4.1
"82","2072","367","821","51","173","205","268","","393","160","49","99","80","","990",".447",".295",".765","25.3","12.1","4.8","2.0","alexajo01","Joe Alexander",0.5
"135","2326","592","1109","19","66","218","325","212","1147","281","72","213","189","153","1421",".534",".288",".671","34.2","10.5","8.5","2.1","allenla01","Lavoy Allen",13.8
"99","3072","574","1176","64","182","337","512","","560","301","134","54","","","1549",".488",".352",".658","31.0","15.6","5.7","3.0","allento01","Tony Allen",38.6
"121","3279","627","1275","153","352","418","507","","419","119","89","65","","","1825",".492",".435",".824","27.1","15.1","3.5","1.0","almonmo01","Morris Almond",0
"62","970","313","657","25","105","241","351","133","585","87","74","82","180","91","892",".476",".238",".687","31.3","14.4","9.4","1.4","aminual01","Al-Farouq Aminu",19.3
"101","1124","583","1268","225","600","420","527","64","513","163","112","60","212","88","1811",".460",".375",".797","34.1","17.9","5.1","1.6","anderja01","James Anderson",3.3
"98","2364","288","669","97","272","200","266","75","341","180","60","84","125","137","873",".430",".357",".752","24.1","8.9","3.5","1.8","anderju01","Justin Anderson",3.2
"71","2242","303","670","36","96","223","303","119","617","355","126","58","183","132","865",".452",".375",".736","31.6","12.2","8.7","5.0","anderky01","Kyle Anderson",9.7
"66","2178","419","866","122","308","276","328","","597","63","34","36","74","","1236",".484",".396",".841","33.0","18.7","9.0","1.0","anderry01","Ryan Anderson",45.1
"35","1274","277","612","56","166","168","238","","349","77","55","30","77","77","778",".453",".337",".706","36.4","22.2","10.0","2.2","anthoca01","Carmelo Anthony",100.1
"62","1697","366","646","11","41","192","278","","589","75","88","40","","","935",".567",".268",".691","27.4","15.1","9.5","1.2","araujra01","Rafael Araujo",-0.4
"130","2104","258","453","0","1","286","420","","539","107","65","81","203","390","802",".570",".000",".681","16.2","6.2","4.1","0.8","archiro01","Robert Archibald",0
"70","2137","395","847","107","296","208","282","","269","155","136","16","188","165","1105",".466",".361",".738","30.5","15.8","3.8","2.2","arenagi01","Gilbert Arenas",51.3
"25","789","107","251","18","76","57","113","","162","52","42","11","","","289",".426",".237",".504","31.6","11.6","6.5","2.1","arizatr01","Trevor Ariza",55.5
"65","1974","430","980","142","363","173","210","","209","96","110","14","126","168","1175",".439",".391",".824","30.4","18.1","3.2","1.5","armstbr01","Brandon Armstrong",-0.6
"131","1980","227","403","1","3","159","275","","517","73","43","191","","","614",".563",".333",".578","15.1","4.7","3.9","0.6","armsthi01","Hilton Armstrong",3.9
"78","1710","369","682","2","17","144","213","","427","50","53","109","75","","884",".541",".118",".676","21.9","11.3","5.5","0.6","arthuda01","Darrell Arthur",12
"73","2662","396","894","119","296","323","400","","211","452","100","3","105","","1234",".443",".402",".808","36.5","16.9","2.9","6.2","augusdj01","D.J. Augustin",32.4
"137","3717","534","865","6","18","309","450","","1023","148","141","139","","","1383",".617",".333",".687","27.1","10.1","7.5","1.1","augusja01","James Augustine",0.3
"91","","457","861","6","17","279","423","","570","103","64","53","","","1199",".531",".353",".660","","13.2","6.3","1.1","austima01","Mario Austin",NA
"68","1260","445","927","75","178","351","393","70","554","119","59","51","146","87","1316",".480",".421",".893","37.1","19.4","8.1","1.8","babbilu01","Luke Babbitt",7.2
"134","2787","418","808","2","6","401","559","234","637","102","62","99","157","282","1239",".517",".333",".717","20.8","9.2","4.8","0.8","bairsca01","Cameron Bairstow",-0.1
"68","2011","234","543","84","199","240","300","30","277","327","90","15","158","171","792",".431",".422",".800","29.6","11.6","4.1","4.8","baldwwa01","Wade Baldwin",-0.3
"104","2193","317","573","16","55","121","227","","550","176","123","112","","","771",".553",".291",".533","21.1","7.4","5.3","1.7","balkmre01","Renaldo Balkman",7.2
