"name","years","school","FG%","AST/G","TRB/G","blocks_per_game","PTS/G","steals_per_game","ws"
"Alex Acker",3,"Pepperdine University",".457","2.8","5.6",0.431818181818182,"14.5",1.51136363636364,-0.043
"Quincy Acy",4,"Baylor University",".602","0.6","6.0",1.27338129496403,"9.8",0.733812949640288,0.084
"Hassan Adams",4,"University of Arizona",".499","2.0","5.4",0.653846153846154,"14.0",1.83076923076923,0.072
"Jordan Adams",2,"University of California, Los Angeles",".467","2.1","4.6",0.246376811594203,"16.4",2.43478260869565,0.07
"Steven Adams",1,"University of Pittsburgh",".571","0.6","6.3",2.03125,"7.2",0.65625,0.141
"Bam Adebayo",1,"University of Kentucky",".599","0.8","8.0",1.5,"13.0",0.684210526315789,0.16
"Arron Afflalo",3,"University of California, Los Angeles",".457","1.9","3.5",0.192307692307692,"14.8",0.615384615384615,0.078
"Maurice Ager",4,"Michigan State University",".441","1.5","3.4",0.314516129032258,"12.5",0.5,-0.089
"Solomon Alabi",3,"Florida State University",".534","0.4","5.4",2.06493506493507,"9.1",0.506493506493506,0.01
"Cole Aldrich",3,"University of Kansas",".574","0.6","7.7",2.27927927927928,"9.4",0.531531531531532,0.137
"LaMarcus Aldridge",2,"University of Texas at Austin",".586","0.6","8.2",1.83018867924528,"13.5",1.26415094339623,0.154
"Courtney Alexander",4,"California State University, Fresno",".456","2.2","3.9",0.1875,"18.9",1.14285714285714,0.048
"Joe Alexander",3,"West Virginia University",".447","2.0","4.8",1.20731707317073,"12.1",0.597560975609756,0.03
"Jarrett Allen",1,"University of Texas at Austin",".566","0.8","8.4",1.54545454545455,"13.4",0.575757575757576,0.12
"Kadeem Allen",2,"University of Arizona",".459","3.3","3.6",0.705882352941177,"9.1",1.29411764705882,-0.096
"Lavoy Allen",4,"Temple University",".534","2.1","8.5",1.57777777777778,"10.5",0.533333333333333,0.096
"Tony Allen",3,"Oklahoma State University",".488","3.0","5.7",0.545454545454545,"15.6",1.35353535353535,0.103
"Morris Almond",4,"Rice University",".492","1.0","3.5",0.537190082644628,"15.1",0.735537190082645,0.005
"Al-Farouq Aminu",2,"Wake Forest University",".476","1.4","9.4",1.32258064516129,"14.4",1.19354838709677,0.069
"James Anderson",3,"Oklahoma State University",".460","1.6","5.1",0.594059405940594,"17.9",1.10891089108911,0.037
"Justin Anderson",3,"University of Virginia",".430","1.8","3.5",0.857142857142857,"8.9",0.612244897959184,0.077
"Kyle Anderson",2,"University of California, Los Angeles",".452","5.0","8.7",0.816901408450704,"12.2",1.77464788732394,0.128
"Ryan Anderson",2,"University of California",".484","1.0","9.0",0.545454545454545,"18.7",0.515151515151515,0.136
"Ike Anigbogu",1,"University of California, Los Angeles",".564","0.2","4.0",1.20689655172414,"4.7",0.172413793103448,0.181
"Carmelo Anthony",1,"Syracuse University",".453","2.2","10.0",0.857142857142857,"22.2",1.57142857142857,0.131
"OG Anunoby",2,"Indiana University",".563","0.8","3.5",0.94,"6.8",0.96,0.098
"Rafael Araujo",2,"Brigham Young University",".567","1.2","9.5",0.645161290322581,"15.1",1.41935483870968,-0.013
"Robert Archibald",4,"University of Illinois at Urbana-Champaign",".570","0.8","4.1",0.623076923076923,"6.2",0.5,-0.004
"Gilbert Arenas",2,"University of Arizona",".466","2.2","3.8",0.228571428571429,"15.8",1.94285714285714,0.127
"Trevor Ariza",1,"University of California, Los Angeles",".426","2.1","6.5",0.44,"11.6",1.68,0.099
"Brandon Armstrong",2,"Pepperdine University",".439","1.5","3.2",0.215384615384615,"18.1",1.69230769230769,-0.039
"Hilton Armstrong",4,"University of Connecticut",".563","0.6","3.9",1.45801526717557,"4.7",0.32824427480916,0.055
"Darrell Arthur",2,"University of Kansas",".541","0.6","5.5",1.3974358974359,"11.3",0.67948717948718,0.065
"D.J. Augustin",2,"University of Texas at Austin",".443","6.2","2.9",0.0410958904109589,"16.9",1.36986301369863,0.096
"James Augustine",4,"University of Illinois at Urbana-Champaign",".617","1.1","7.5",1.01459854014599,"10.1",1.02919708029197,0.101
"Mario Austin",3,"Mississippi State University",".531","1.1","6.3",0.582417582417582,"13.2",0.703296703296703,NA
"Luke Babbitt",2,"University of Nevada, Reno",".480","1.8","8.1",0.75,"19.4",0.867647058823529,0.067
"Dwayne Bacon",2,"Florida State University",".449","1.6","5.0",0.072463768115942,"16.5",0.985507246376812,-0.004
