"G","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","MP.G","PTS.G","TRB.G","AST.G","player_id","name","ws","school","years"
88,3023,449,983,120,292,255,310,NA,495,249,133,38,NA,NA,1273,0.457,0.411,0.823,34.4,14.5,5.6,2.8,"ackeral01","Alex Acker",-0.043,"Pepperdine University",3
139,2930,503,835,3,7,351,496,251,828,86,102,177,214,280,1360,0.602,0.429,0.708,27.9,9.8,6,0.6,"acyqu01","Quincy Acy",0.084,"Baylor University",4
130,3609,750,1503,75,241,243,345,NA,706,259,238,85,NA,NA,1818,0.499,0.311,0.704,27.8,14,5.4,2,"adamsha01","Hassan Adams",0.072,"University of Arizona",4
69,2081,373,798,98,296,287,342,88,319,142,168,17,94,147,1131,0.467,0.331,0.839,30.2,16.4,4.6,2.1,"adamsjo01","Jordan Adams",0.07,"University of California, Los Angeles",2
32,749,100,175,0,0,31,70,90,203,20,21,65,35,52,231,0.571,NA,0.443,23.4,7.2,6.3,0.6,"adamsst01","Steven Adams",0.141,"University of Pittsburgh",1
104,3396,519,1135,209,560,293,375,NA,360,202,64,20,NA,NA,1540,0.457,0.373,0.781,32.7,14.8,3.5,1.9,"afflaar01","Arron Afflalo",0.078,"University of California, Los Angeles",3
124,3176,523,1185,202,532,306,395,NA,424,181,62,39,NA,NA,1554,0.441,0.38,0.775,25.6,12.5,3.4,1.5,"agerma01","Maurice Ager",-0.089,"Michigan State University",4
77,820,270,506,0,1,164,220,79,415,28,39,159,128,75,704,0.534,0,0.745,25.6,9.1,5.4,0.4,"alabiso01","Solomon Alabi",0.01,"Florida State University",3
111,963,391,681,0,0,256,351,110,860,72,59,253,133,92,1038,0.574,NA,0.729,26.8,9.4,7.7,0.6,"aldrico01","Cole Aldrich",0.137,"University of Kansas",3
53,1602,276,471,0,0,161,248,NA,434,34,67,97,NA,NA,713,0.586,NA,0.649,30.2,13.5,8.2,0.6,"aldrila01","LaMarcus Aldridge",0.154,"University of Texas at Austin",2
112,3456,805,1767,166,458,336,438,NA,441,249,128,21,220,246,2112,0.456,0.362,0.767,30.9,18.9,3.9,2.2,"alexaco02","Courtney Alexander",0.048,"California State University, Fresno",4
82,2072,367,821,51,173,205,268,NA,393,160,49,99,80,NA,990,0.447,0.295,0.765,25.3,12.1,4.8,2,"alexajo01","Joe Alexander",0.03,"West Virginia University",3
135,2326,592,1109,19,66,218,325,212,1147,281,72,213,189,153,1421,0.534,0.288,0.671,34.2,10.5,8.5,2.1,"allenla01","Lavoy Allen",0.096,"Temple University",4
99,3072,574,1176,64,182,337,512,NA,560,301,134,54,NA,NA,1549,0.488,0.352,0.658,31,15.6,5.7,3,"allento01","Tony Allen",0.103,"Oklahoma State University",3
121,3279,627,1275,153,352,418,507,NA,419,119,89,65,NA,NA,1825,0.492,0.435,0.824,27.1,15.1,3.5,1,"almonmo01","Morris Almond",0.005,"Rice University",4
62,970,313,657,25,105,241,351,133,585,87,74,82,180,91,892,0.476,0.238,0.687,31.3,14.4,9.4,1.4,"aminual01","Al-Farouq Aminu",0.069,"Wake Forest University",2
101,1124,583,1268,225,600,420,527,64,513,163,112,60,212,88,1811,0.46,0.375,0.797,34.1,17.9,5.1,1.6,"anderja01","James Anderson",0.037,"Oklahoma State University",3
98,2364,288,669,97,272,200,266,75,341,180,60,84,125,137,873,0.43,0.357,0.752,24.1,8.9,3.5,1.8,"anderju01","Justin Anderson",0.077,"University of Virginia",3
71,2242,303,670,36,96,223,303,119,617,355,126,58,183,132,865,0.452,0.375,0.736,31.6,12.2,8.7,5,"anderky01","Kyle Anderson",0.128,"University of California, Los Angeles",2
66,2178,419,866,122,308,276,328,NA,597,63,34,36,74,NA,1236,0.484,0.396,0.841,33,18.7,9,1,"anderry01","Ryan Anderson",0.136,"University of California",2
35,1274,277,612,56,166,168,238,NA,349,77,55,30,77,77,778,0.453,0.337,0.706,36.4,22.2,10,2.2,"anthoca01","Carmelo Anthony",0.131,"Syracuse University",1
62,1697,366,646,11,41,192,278,NA,589,75,88,40,NA,NA,935,0.567,0.268,0.691,27.4,15.1,9.5,1.2,"araujra01","Rafael Araujo",-0.013,"Brigham Young University",2
130,2104,258,453,0,1,286,420,NA,539,107,65,81,203,390,802,0.57,0,0.681,16.2,6.2,4.1,0.8,"archiro01","Robert Archibald",-0.004,"University of Illinois at Urbana-Champaign",4
70,2137,395,847,107,296,208,282,NA,269,155,136,16,188,165,1105,0.466,0.361,0.738,30.5,15.8,3.8,2.2,"arenagi01","Gilbert Arenas",0.127,"University of Arizona",2
25,789,107,251,18,76,57,113,NA,162,52,42,11,NA,NA,289,0.426,0.237,0.504,31.6,11.6,6.5,2.1,"arizatr01","Trevor Ariza",0.099,"University of California, Los Angeles",1
65,1974,430,980,142,363,173,210,NA,209,96,110,14,126,168,1175,0.439,0.391,0.824,30.4,18.1,3.2,1.5,"armstbr01","Brandon Armstrong",-0.039,"Pepperdine University",2
131,1980,227,403,1,3,159,275,NA,517,73,43,191,NA,NA,614,0.563,0.333,0.578,15.1,4.7,3.9,0.6,"armsthi01","Hilton Armstrong",0.055,"University of Connecticut",4
78,1710,369,682,2,17,144,213,NA,427,50,53,109,75,NA,884,0.541,0.118,0.676,21.9,11.3,5.5,0.6,"arthuda01","Darrell Arthur",0.065,"University of Kansas",2
